Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Australia/Indonesia Zone of Cooperation	offshore	NA	offshore total	oil	NA	NA	NA	1	16.87293758	51.70391002	116.51634	57.30914738	34.29286508	110.6307461	272.797216	126.3377651	1.924816174	6.474159479	17.0012884	7.583930548
Australia/Indonesia Zone of Cooperation	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1187.461131	3921.005405	9250.043996	4409.624602	48.47750184	168.1625005	429.0155832	194.2660021
Australia/Indonesia Zone of Cooperation	NA	NA	total	oil	NA	NA	NA	1	16.87293758	51.70391002	116.51634	57.30914738	34.29286508	110.6307461	272.797216	126.3377651	1.924816174	6.474159479	17.0012884	7.583930548
Australia/Indonesia Zone of Cooperation	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1187.461131	3921.005405	9250.043996	4409.624602	48.47750184	168.1625005	429.0155832	194.2660021
Austria	onshore	NA	onshore total	oil	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
Austria	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	25.55970325	63.86719536	132.6075529	69.61610403	0.185924519	0.497958248	1.132605591	0.557178143
Austria	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Austria	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Austria	NA	NA	total	oil	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
Austria	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	25.55970325	63.86719536	132.6075529	69.61610403	0.185924519	0.497958248	1.132605591	0.557178143
Azerbaijan	onshore	NA	onshore total	oil	NA	NA	NA	1	48.54706471	158.5263779	339.6042076	172.009899	79.58714444	275.5658294	645.3225644	307.6955112	4.471909774	16.10759807	40.46004033	18.4511154
Azerbaijan	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	335.9679799	1167.207968	2408.22564	1243.452965	11.22450491	39.91727975	87.94296003	43.51777664
Azerbaijan	offshore	NA	offshore total	oil	NA	NA	NA	1	1660.48851	5695.409313	12052.8827	6133.6372	4106.085521	15130.13542	34940.75943	16763.75132	231.1608365	882.9394592	2192.826666	1004.655655
Azerbaijan	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	13069.79581	46332.97663	94751.31134	49134.22729	478.0870758	1722.706271	3789.800837	1875.932623
Azerbaijan	NA	NA	total	oil	NA	NA	NA	1	1709.035575	5853.935691	12392.48691	6305.647099	4185.672665	15405.70125	35586.082	17071.44683	235.6327463	899.0470573	2233.286706	1023.10677
Azerbaijan	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	13405.76379	47500.18459	97159.53698	50377.68026	489.3115807	1762.623551	3877.743797	1919.4504
Bahrain	onshore	NA	onshore total	oil	NA	NA	NA	1	23.25963856	64.19016965	122.3278929	67.43274488	24.39370824	68.54389236	138.6448419	73.44003262	0.754445486	2.179032225	4.679157574	2.375353953
Bahrain	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	2190.912146	5128.455093	9355.906696	5367.909481	87.41892909	219.3787437	441.504128	236.0700933
Bahrain	offshore	NA	offshore total	oil	NA	NA	NA	1	271.0591188	787.0027397	1537.701016	831.5611517	262.7381642	788.0750748	1675.104586	855.6335313	6.928561151	21.39758731	47.63260234	23.55034328
Bahrain	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	4162.971301	9758.668995	17832.99864	10219.09985	166.1375759	417.437441	841.5180688	449.4160472
Bahrain	NA	NA	total	oil	NA	NA	NA	1	294.3187574	851.1929094	1660.028909	898.9938966	287.1318725	856.6189671	1813.749428	929.0735639	7.683006637	23.57661954	52.31175991	25.92569723
Bahrain	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	6353.883447	14887.12409	27188.90534	15587.00933	253.556505	636.8161848	1283.022197	685.4861405
