Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
2020	Interior Homocline-Central Arch	Oil	84	4616	4700	0	9825	9825	0	263	263	84	6516	6601	16495	122074	9291	46132	21195	131899	9554	52733	22	7	3	13	21111	131899	9554	52648
2021	Greater Ghawar Uplift	Oil	57744	83956	141700	26493	222057	248550	9	8546	8555	62169	129511	191680	13830	226969	12150	63808	155530	475519	20705	255488	91	52	41	75	97786	449026	20695	193319
2022	Qatar Arch	Gas	0	1150	1150	1018	464582	465600	14	13751	13765	183	92332	92515	5026	17385	984	8908	6176	482985	14749	101423	19	96	93	91	6176	481967	14736	101239
2023	Widyan Basin-Interior Platform	Oil	219	17216	17435	60	7295	7355	0	25	25	229	18457	18686	21215	94746	6849	43855	38650	102101	6874	62541	45	7	0	30	38431	102041	6874	62312
2024	Mesopotamian Foredeep Basin	Oil	56746	235696	292442	13129	285156	298285	0	1837	1837	58934	285059	343993	61134	83722	3071	78159	353576	382007	4907	422151	83	78	37	81	296830	368878	4907	363217
2025	Hail-Ga'Ara Arch	Gas	0	0	0	0	0	0	0	0	0	0	0	0	53	1290	102	369	53	1290	102	369	0	0	0	0	53	1290	102	369
2028	Rutbah Uplift	Gas	0	0	0	0	0	0	0	0	0	0	0	0	53	1290	102	369	53	1290	102	369	0	0	0	0	53	1290	102	369
2029	Wadi-Surhan Basin	Gas	0	0	0	47	179	226	0	0	0	8	30	38	0	7873	630	1942	0	8099	630	1979	NA	3	0	2	0	8052	630	1972
2030	Zagros Fold Belt	Oil	49367	72234	121601	10333	389111	399444	12	1351	1363	51102	138437	189539	45459	212008	9499	90292	167060	611451	10862	279831	73	65	13	68	117693	601119	10850	228729
2031	Zagros Thrust Zone	Gas	0	0	0	0	0	0	0	0	0	0	0	0	38	966	43	242	38	966	43	242	0	0	0	0	38	966	43	242
