Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Angola	onshore	72030301	Central Congo Delta and Carbonate Platform	gas	9	BCFG	6	1	NA	NA	NA	NA	95.17389608	315.590614	674.5434505	340.8062553	3.889792379	13.42970214	31.48656568	14.97597131
Angola	offshore	72030301	Central Congo Delta and Carbonate Platform	oil	51	MMBO	1	1	875.8894007	2306.247604	4129.306032	2385.136426	1813.79835	5025.868135	10071.5334	5368.686219	83.59037202	243.7559216	534.0528564	267.9696002
Angola	offshore	72030301	Central Congo Delta and Carbonate Platform	gas	51	BCFG	6	1	NA	NA	NA	NA	539.3187445	1788.346813	3822.412886	1931.235447	22.04215681	76.10164546	178.4238722	84.8638374
Angola	offshore	72030302	Central Congo Turbidites	oil	59	MMBO	10	1	3408.808805	10360.72999	20301.16113	10927.79014	7079.545847	22576.07821	48985.17504	24547.2289	332.685265	1096.994392	2561.048208	1227.239285
Angola	offshore	72030302	Central Congo Turbidites	gas	59	BCFG	60	1	NA	NA	NA	NA	1559.969972	7095.290565	17814.90834	8060.975836	64.12238402	302.7286771	824.8699258	355.2399104
Angola	onshore	72030401	Cuanza-Namibe	oil	9.9	MMBO	1	1	8.343549671	60.16974381	211.6656821	78.21822403	7.94872703	58.40402623	218.3379408	78.23339242	0.378339721	2.838076804	11.18652089	3.909028765
Angola	onshore	72030401	Cuanza-Namibe	gas	9.9	BCFG	6	1	NA	NA	NA	NA	6.611912431	46.77203205	248.1837442	76.00127844	0.275561706	2.016474414	11.06409889	3.343379534
Angola	offshore	72030401	Cuanza-Namibe	oil	89.1	MMBO	1	1	75.09194704	541.5276943	1904.991139	703.9640162	71.53854327	525.6362361	1965.041467	704.1005318	3.405057485	25.54269124	100.678688	35.18125888
Angola	offshore	72030401	Cuanza-Namibe	gas	89.1	BCFG	6	1	NA	NA	NA	NA	59.50721188	420.9482884	2233.653698	684.011506	2.480055353	18.14826973	99.57688997	30.09041581
Argentina	onshore	60450101	Sub-Andean Fold and Thrust Belt	oil	7	MMBO	1	1	4.621106963	12.16850856	22.21140128	12.64309529	11.75113723	32.46627401	65.69022793	34.78834121	0.65172935	1.893324961	4.172920118	2.089376701
Argentina	onshore	60450101	Sub-Andean Fold and Thrust Belt	gas	7	BCFG	6	1	NA	NA	NA	NA	652.9920899	1376.816691	2239.372228	1401.675997	22.40390918	50.77430155	92.68363174	53.26340399
Argentina	onshore	60450102	Foreland Basins	oil	1.1	MMBO	3	1	2.323923231	12.0872395	31.25425714	13.79196513	5.715076734	30.39057735	85.13135674	35.81504019	0.321821318	1.76489268	5.30092947	2.147441599
Argentina	onshore	60450102	Foreland Basins	gas	1.1	BCFG	18	1	NA	NA	NA	NA	6.623529338	39.4560644	103.2089564	45.31413056	0.235646306	1.410984506	4.008839841	1.676637357
Argentina	onshore	60450103	Foreland Central Chaco High	oil	0.8	MMBO	3	0.6	0	3.571988174	19.11853495	5.685579647	0	8.808730936	50.83712909	14.75600402	0	0.500041134	3.154941181	0.884937307
Argentina	onshore	60450103	Foreland Central Chaco High	gas	0.8	BCFG	18	0.6	NA	NA	NA	NA	0	6.540955947	37.48455986	10.92888734	0	0.231826215	1.421571239	0.404062453
Argentina	onshore	60550101	Neuquen Extensional Structures	oil	100	MMBO	1	1	290.3702518	819.5274014	1563.582872	862.1557612	807.2102014	2383.294614	5033.584644	2585.83816	14.82316129	46.49416592	106.5327033	51.71179286
Argentina	onshore	60550101	Neuquen Extensional Structures	gas	100	BCFG	6	1	NA	NA	NA	NA	1591.261567	4901.089446	9413.637211	5138.464587	20.72893028	69.88014882	157.0165199	76.99871574
Argentina	onshore	60550102	Neuquen Foothills Structure	oil	100	MMBO	1	1	94.26923967	306.3949873	669.4745637	334.0541911	264.8417934	892.3227619	2114.09963	1001.026957	4.88539063	17.33503314	44.5839109	20.02421874
Argentina	onshore	60550102	Neuquen Foothills Structure	gas	100	BCFG	6	1	NA	NA	NA	NA	739.060189	2545.355261	5504.118761	2763.459581	9.685532452	36.33896978	90.72557473	41.44961843
Argentina	onshore	60550103	Dorsal de Neuquen Structure	oil	100	MMBO	1	1	27.10489375	87.06809309	180.037547	93.3284169	50.63892206	168.6152875	381.4159134	186.6121594	0.471083126	1.642262185	4.008496972	1.864528509
Argentina	onshore	60550103	Dorsal de Neuquen Structure	gas	100	BCFG	6	1	NA	NA	NA	NA	213.7041996	691.547466	1423.469822	740.3419265	2.770825074	9.909393935	23.47060476	11.11140164
Argentina	onshore	60580101	San Jorge Extensional Structures	oil	67	MMBO	1	1	73.79416874	217.4786489	441.9745778	232.659364	68.87004347	210.8864447	469.8470507	232.9471848	1.287647473	4.108205688	9.863148862	4.659474421
Argentina	onshore	60580101	San Jorge Extensional Structures	gas	67	BCFG	6	1	NA	NA	NA	NA	482.706239	1651.928243	3588.180472	1802.651121	8.986373144	32.05019639	76.20589475	36.03366183
Argentina	offshore	60580101	San Jorge Extensional Structures	oil	33	MMBO	1	1	36.34638162	107.1163494	217.6889712	114.5934181	33.92106618	103.8694429	231.4172041	114.7351806	0.634214427	2.023444593	4.857968842	2.294965013
Argentina	offshore	60580101	San Jorge Extensional Structures	gas	33	BCFG	6	1	NA	NA	NA	NA	237.7508341	813.6362989	1767.31277	887.87294	4.426124086	15.78591763	37.53424667	17.74792299
Argentina	onshore	60580102	San Bernardo Fold Belt Structures	oil	100	MMBO	1	1	49.82203526	145.5250205	267.8903705	150.9366478	72.40170258	215.1670648	416.3864254	226.3724981	1.354286972	4.169073291	8.904373547	4.528580544
Argentina	onshore	60580102	San Bernardo Fold Belt Structures	gas	100	BCFG	6	1	NA	NA	NA	NA	172.0252487	495.6309181	889.5785584	508.9230553	3.164319742	9.540962756	19.24177637	10.17047711
Argentina	onshore	60590101	Magallanes Extensional Structures	oil	45.5	MMBO	1	1	79.88016325	217.7262302	389.3691933	224.7363199	299.2293373	846.7498698	1675.540251	898.4560167	2.210904821	6.577571283	14.19685132	7.179426817
Argentina	onshore	60590101	Magallanes Extensional Structures	gas	45.5	BCFG	6	1	NA	NA	NA	NA	1381.283808	3693.78833	6740.924928	3826.978547	32.76554977	90.41376629	176.6789459	95.65631334
Argentina	offshore	60590101	Magallanes Extensional Structures	oil	24.5	MMBO	1	1	43.01239559	117.2372009	209.6603349	121.0118646	161.1234893	455.9422376	902.2139812	483.784009	1.190487211	3.541769153	7.644458403	3.865845209
