Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Congo (Brazzaville)	gas	1	NA	NA	NA	NA	925.3761589	3883.119647	9422.421783	4362.35177	37.97548053	165.5795914	436.9838375	192.1253061
Congo (Kinshasa)	oil	1	109.2993263	311.2672168	586.9878317	325.5189248	226.6863231	678.2846954	1422.700346	731.8597989	10.55581401	32.93170892	74.82247065	36.56358351
Congo (Kinshasa)	gas	1	NA	NA	NA	NA	58.16480104	225.4560335	526.7954159	250.2287942	2.383417528	9.607561908	24.47636809	11.01300587
Côte d'Ivoire	oil	1	134.9893486	540.3710574	1270.175894	602.6917254	550.8398044	2307.49205	5907.25665	2652.2977	17.25267833	74.31048945	203.6009408	87.84335272
Côte d'Ivoire	gas	1	NA	NA	NA	NA	753.4216767	3038.261057	7200.221079	3390.231116	16.78681263	70.70023662	181.7811497	81.42355674
Croatia	oil	1	40.61176764	81.28952702	145.2417443	85.67167773	34.01226681	80.85930761	180.4475964	90.43979473	1.236917428	3.160998481	7.597385654	3.625807611
Croatia	gas	1	NA	NA	NA	NA	715.1462424	1530.164216	2841.791628	1627.160958	10.03894691	23.69772139	50.46286703	26.10682265
Cuba	oil	1	142.2192164	464.2477279	941.0335639	493.6387419	159.4661855	540.3208989	1200.268029	591.5564964	8.872008873	31.53310769	75.66110004	35.46593676
Cuba	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Czech Republic	oil	1	2.825499641	8.452306739	18.00880885	9.22088085	7.356399426	23.04271812	53.26426232	25.78742122	0.408134597	1.342665471	3.363365302	1.545157243
Czech Republic	gas	1	NA	NA	NA	NA	169.8127897	467.7414684	976.1025239	508.6914366	1.516440207	4.55552693	10.50411374	5.098675586
Denmark	oil	1	34.52776622	87.81492225	176.6628869	94.79157573	25.18438072	68.48101891	151.1063434	75.81268718	1.388472158	4.016723461	9.557013184	4.545218497
Denmark	gas	1	NA	NA	NA	NA	226.139127	641.8621751	1366.635394	700.7398701	10.3841574	31.12817936	72.41414267	35.02419355
Ecuador	oil	1	300.6899225	876.8998414	1929.852316	970.2845605	84.66182129	279.5256455	762.6986857	339.8756367	2.531015124	9.742950774	31.62231288	12.83296178
Ecuador	gas	1	NA	NA	NA	NA	26.60431978	117.0073718	619.9315385	211.8931646	1.089440528	5.00063599	28.11726639	9.333508326
Egypt	oil	1	980.3695199	2918.398005	5955.968022	3118.840267	1204.402039	4585.310784	11608.58184	5246.94038	64.66795266	263.2209647	690.3359774	305.3344516
Egypt	gas	1	NA	NA	NA	NA	3452.970033	13998.5626	31083.39443	15188.45876	186.3570639	722.1899058	1584.904243	782.2681829
Equatorial Guinea	oil	1	934.2543652	2269.024314	4041.177869	2352.135292	1485.84165	3788.81737	7634.799729	4067.964438	50.09819613	137.5781118	301.027948	151.5455254
Equatorial Guinea	gas	1	NA	NA	NA	NA	1512.967547	3336.099806	5865.99454	3470.005805	88.58108211	190.4175395	334.5248915	198.2566709
Eritrea	oil	1	164.1746999	551.8676812	1009.63659	559.0107526	364.7948219	1234.874172	2449.515258	1286.223459	21.62248252	69.30379136	136.2471747	72.45410529
Eritrea	gas	1	NA	NA	NA	NA	2712.633423	9477.45281	17463.67084	9641.337541	156.3804123	540.9300224	1043.043509	560.2556426
Falkland Islands (Islas Malvinas)	oil	0.9	0	3947.516041	17273.68649	5832.762504	0	4661.744397	26253.61339	8068.91685	0	98.54852995	621.7177694	183.7994373
Falkland Islands (Islas Malvinas)	gas	0.9	NA	NA	NA	NA	0	5802.366273	25011.3933	8512.120718	0	118.5986837	578.3263217	186.5162745
France	oil	0.6	0	173.028734	1119.079235	310.6349813	0	363.1802647	2519.099136	685.0213549	0	20.86193785	154.0634991	41.14102098
France	gas	0.6	NA	NA	NA	NA	0	16482.96927	59412.2293	20141.62151	0	685.8803877	2723.496727	885.4047839
French Guiana	oil	1	2.722836706	11.01871802	24.86224453	12.04369885	3.561614716	14.94481679	36.54662428	16.86205844	0.165755666	0.727573897	1.902308046	0.842245605
French Guiana	gas	1	NA	NA	NA	NA	1.846928113	12.85900943	45.06517402	16.6836635	0.062968026	0.447450804	1.655879246	0.59464743
Gabon	oil	1	2298.124906	7576.539037	16069.95511	8184.166352	3973.971445	13413.23281	30742.89223	14860.23204	185.5606394	652.0732391	1607.587311	743.3804411
Gabon	gas	1	NA	NA	NA	NA	1779.979964	8259.865703	21157.64818	9447.002806	73.77197724	353.29563	975.0020262	416.1826682
Germany	oil	1	53.04122032	143.2887234	299.3644457	155.9068734	39.8913786	114.3016657	261.2672303	127.821876	1.439045213	4.217322785	10.12272953	4.785972981
Germany	gas	1	NA	NA	NA	NA	4812.873984	12261.43575	22714.5871	12865.35763	20.24985415	59.37961077	137.2051387	66.65240967
Ghana	oil	1	44.99644952	180.1236858	423.3919646	200.8972418	183.6132681	769.1640167	1969.08555	884.0992333	5.750892777	24.77016315	67.86698025	29.28111757
Ghana	gas	1	NA	NA	NA	NA	251.1405589	1012.753686	2400.073693	1130.077039	5.59560421	23.56674554	60.59371656	27.14118558
Greenland	oil	0.7	0	49683.71194	111814.9417	47147.76135	0	46606.73553	118596.9413	47147.98308	0	2642.282551	7499.341833	2826.542949
Greenland	gas	0.7	NA	NA	NA	NA	0	34430.205	81179.02944	33560.8148	0	1297.394136	3458.103847	1343.243311
Grenada	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
Grenada	gas	1	NA	NA	NA	NA	169.9463112	716.304478	1724.433695	804.127806	1.591185329	6.911747445	18.23888787	8.032335836
Guinea-Bissau	oil	1	3.718957675	28.71696551	103.1248915	37.72591485	7.837838122	61.19253943	232.2555864	82.91566386	0.448531056	3.569837568	14.26374319	4.969101272
Guinea-Bissau	gas	1	NA	NA	NA	NA	19.8830465	99.44605	306.3254844	122.5151817	0.830535204	4.254430584	13.98303662	5.39719957
Guyana	oil	1	453.7450505	2017.705237	4614.590077	2205.551053	838.4199829	3866.074199	9599.750712	4367.842355	46.53778037	224.2197628	606.0332589	261.2190701
Guyana	gas	1	NA	NA	NA	NA	300.739573	1410.570524	3859.140866	1654.000928	12.38287752	59.65572621	173.3108219	71.8539841
Hungary	oil	1	56.82094538	136.2673819	268.0537682	146.2137265	50.19368122	141.0188734	335.7817545	160.1276605	1.760985826	5.118852724	12.93951959	5.941324285
Hungary	gas	1	NA	NA	NA	NA	950.3248297	2240.85703	4086.086524	2348.18063	24.09720816	65.83070445	140.9854072	72.06323712
India	oil	1	826.4757436	2428.107399	4696.570588	2555.630113	1789.13117	5515.021582	11904.15993	6012.947571	58.54632033	191.9331579	470.0328376	218.7583253
India	gas	1	NA	NA	NA	NA	6455.665903	22219.98578	48627.79585	24266.30404	107.1531008	360.2330762	844.5596918	402.7663515
Indonesia	oil	1	2288.244595	6955.154461	14156.9229	7434.929756	4586.195937	15445.43585	35289.09105	17130.76608	244.3938007	869.3655037	2161.260608	994.4967927
Indonesia	gas	1	NA	NA	NA	NA	29526.85632	84989.08619	170009.2643	90578.75897	511.7924351	1611.173882	3631.235944	1782.316245
