Total Petroleum System Code	Total Petroleum System Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)	
202101	Central Arabia Qusaiba Paleozoic	Oil	84	6292	6376	0	79115	79115	0	343	343	84	19820	19905	19190	383339	24587	107667	25566	462454	24930	127572	25	17	1	16	25481	462454	24930	127487
202102	Arabian Sub-Basin Tuwaiq/Hanifa-Arab	Oil	63853	135142	198995	24821	250474	275295	0	9205	9205	67990	186092	254083	41703	34046	1362	48739	240698	309341	10567	302822	83	89	87	84	176845	284520	10567	234832
202301	Paleozoic Qusaiba/Akkas/Abba/Mudawwara	Oil	269	944	1213	47	1614	1661	0	25	25	277	1238	1515	2632	64510	5080	18464	3845	66172	5105	19979	32	3	0	8	3577	66124	5105	19702
202302	Jurassic Gotnia/Barsarin/Sargelu/Najmah	Oil	94	379	474	0	100	100	0	0	0	94	396	490	6569	22942	1114	11506	7042	23042	1114	11997	7	0	0	4	6948	23042	1114	11902
203001	Zagros-Mesopotamian Cretaceous-Tertiary	Oil	100467	271760	372226	25260	467978	493238	22	1540	1562	104699	351296	455995	94516	197597	7960	135409	466742	690835	9523	591404	80	71	16	77	366275	665575	9501	486705
203002	Paleozoic-Permian/Triassic	Gas	0	0	0	0	131220	131220	0	925	925	0	22795	22795	0	69031	3039	14544	0	200251	3964	37339	NA	66	23	61	0	200251	3964	37339
204301	Sirte-Zelten	Oil	13986	23087	37072	5479	32288	37767	30	98	129	14929	28566	43496	6854	14984	648	10000	43927	52752	777	53496	84	72	17	81	29941	47272	746	38566
204801	Bou Dabbous-Tertiary	Oil	481	1633	2114	37	15472	15509	0	44	44	488	4255	4743	667	2746	64	1189	2782	18256	108	5932	76	85	41	80	2300	18218	108	5444
204802	Jurassic-Cretaceous Composite	Oil	39	64	103	6	1295	1301	0	22	23	40	303	343	403	2280	27	810	506	3581	49	1153	20	36	46	30	467	3575	49	1112
205401	Tanezzuft-Oued Mya	Oil	5872	4971	10843	68	8905	8973	0	0	0	5883	6455	12338	830	2341	110	1330	11673	11314	110	13668	93	79	0	90	5801	11246	110	7785
205402	Tanezzuft-Melrhir	Oil	0	6	6	0	125	125	0	9	9	0	36	36	1875	4887	269	2959	1881	5012	278	2995	0	2	3	1	1881	5012	278	2995
205403	Tanezzuft-Ghadames	Oil	1629	2909	4538	579	15905	16484	71	940	1011	1797	6499	8296	4461	12035	908	7376	8999	28519	1919	15672	50	58	53	53	7370	27940	1848	13875
205601	Tanezzuft-Illizi	Oil	2286	1384	3670	750	44311	45061	74	824	898	2485	9593	12078	2814	27785	873	8318	6484	72846	1771	20395	57	62	51	59	4198	72096	1697	17910
205801	Tanezzuft-Timimoun	Gas	0	0	0	0	4200	4200	0	0	0	0	700	700	31	1128	56	275	31	5328	56	975	0	79	0	72	31	5328	56	975
205802	Tanezzuft-Ahnet	Gas	0	1	1	0	3117	3117	0	90	90	0	610	610	34	2973	149	678	35	6090	239	1288	3	51	38	47	35	6090	239	1288
205803	Tanezzuft-Sbaa	Oil	0	284	284	0	1490	1490	0	10	10	0	542	542	162	645	11	281	446	2134	21	823	64	70	48	66	446	2134	21	823
205804	Tanezzuft-Mouydir	Gas	0	0	0	0	0	0	0	0	0	0	0	0	12	292	14	75	12	292	14	75	0	0	0	0	12	292	14	75
205805	Tanezzuft-Benoud	Gas	16	72	88	4980	100070	105050	846	4089	4935	1692	20839	22531	72	2541	125	621	160	107591	5060	23152	55	98	98	97	144	102611	4214	21460
205806	Tanezzuft-Bechar/Abadla	Gas	0	0	0	0	0	0	0	0	0	0	0	0	16	441	22	111	16	441	22	111	0	0	0	0	16	441	22	111
207101	Sudr-Nubia	Oil	6351	3459	9810	840	5155	5995	24	17	41	6515	4335	10850	2608	10192	484	4791	12418	16186	525	15641	79	37	8	69	6067	15347	501	9126
207102	Maqna	Oil	22	133	155	10	3517	3527	0	256	256	24	975	999	2579	49820	2860	13743	2734	53347	3116	14742	6	7	8	7	2712	53338	3116	14718
311501	Lucaogou-Karamay/Ulho/Pindequan	Oil	937	5687	6624	491	1757	2248	0	0	0	1019	5980	6998	467	346	21	546	7091	2594	21	7544	93	87	0	93	6154	2104	21	6525
311502	Jurassic Coal-Jurassic/Tertiary	Oil	16	193	210	10	332	342	0	0	0	18	249	267	96	950	43	297	306	1292	43	564	69	26	1	47	289	1281	43	546
311503	Lucaogou/Jurassic Coal-Paleozoic/Mesozoic	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
312701	Shahejie-Shahejie/Guantao/Wumishan	Oil	10415	14139	24553	2987	12685	15672	1	86	88	10914	16339	27253	4412	8514	417	6248	28965	24186	505	33501	85	65	17	81	18550	21199	503	22587
312702	Carboniferous/Permian Coal-Paleozoic	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
