Total Petroleum System Code	Total Petroleum System Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)	
602201	Neogene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29840	298	5272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
602901	Neocomian to Turonian Composite	Oil	469	223	692	348	1059	1407	1	2	3	528	402	929	1487	8334	415	3292	2179	9741	418	4221	32	14	1	22	1711	9393	417	3693
603401	Cretaceous Composite	Oil	93	37	130	42	180	222	0	1	1	100	68	169	2959	34287	1612	10285	3089	34509	1614	10454	4	1	0	2	2995	34467	1614	10354
603501	Lagoa Feia-Carapebus	Oil	1769	8287	10056	303	5941	6244	0	10	10	1819	9287	11107	16293	19691	553	20128	26349	25935	563	31235	38	24	2	36	24580	25632	563	29415
603601	Guaratiba-Guaruja (Cretaceous) Composite	Oil	6	279	285	12	1113	1125	4	40	44	12	505	517	23209	80547	4194	40828	23494	81672	4238	41344	1	1	1	1	23488	81660	4235	41332
603701	Cenomanian-Turonian-Tertiary Composite	Oil	0	0	0	0	0	0	0	0	0	0	0	0	2938	22806	1107	7846	2938	22806	1107	7846	0	0	0	0	2938	22806	1107	7846
604101	Mesozoic-Cenozoic	Oil	2889	3712	6601	661	955	1616	0	0	0	2999	3871	6871	3023	755	15	3164	9625	2372	15	10035	69	68	0	68	6735	1711	15	7036
604102	Paleozoic	Oil	0	0	0	0	0	0	0	0	0	0	0	0	74	841	40	254	74	841	40	254	0	0	0	0	74	841	40	254
604501	Los Monos-Machareti	Oil	257	63	320	6928	10058	16985	243	305	548	1655	2045	3699	2145	31107	1300	8629	2466	48092	1847	12328	13	35	30	30	2209	41165	1604	10674
605501	Neuquen Hybrid	Oil	1532	838	2370	7636	13068	20704	79	260	338	2883	3276	6159	1290	12416	203	3562	3659	33119	542	9721	65	63	62	63	2128	25483	463	6838
605801	D-129	Oil	2445	900	3346	1667	1898	3565	0	2	2	2723	1218	3942	498	3774	75	1203	3844	7339	77	5144	87	49	2	77	1398	5672	77	2421
605802	Aguada Bandera	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
605901	Lower Inoceramus	Gas	595	620	1216	10053	14754	24807	88	123	211	2359	3202	5562	704	14040	310	3354	1920	38848	521	8915	63	64	41	62	1325	28794	433	6556
606001	Neocomian Lacustrine	Oil	0	0	0	0	0	0	0	0	0	0	0	0	3603	8871	178	5259	3603	8871	178	5259	0	0	0	0	3603	8871	178	5259
606002	Lower Cretaceous	Oil	0	0	0	0	0	0	0	0	0	0	0	0	2229	7710	193	3707	2229	7710	193	3707	0	0	0	0	2229	7710	193	3707
606301	Lower Cretaceous Marine	Oil	0	10	10	0	75	75	0	2	2	0	25	25	1031	11327	362	3280	1041	11402	364	3305	1	1	1	1	1041	11402	364	3305
608101	Cretaceous-Tertiary	Oil	1346	326	1672	1951	941	2892	44	-44	0	1715	439	2154	1711	4795	255	2765	3383	7687	255	4919	49	38	0	44	2038	5736	211	3204
608301	Neogene	Oil	4	0	4	0	340	340	0	0	0	4	57	61	37	471	21	137	41	811	21	198	11	42	0	31	37	811	21	194
608302	Cretaceous-Paleogene	Oil	118	53	171	148	10	158	0	0	0	143	54	197	200	224	12	249	370	382	12	446	46	41	0	44	252	233	12	303
609001	La Luna-La Paz	Oil	1915	512	2426	2310	2692	5002	0	68	68	2300	1028	3328	709	3292	130	1388	3135	8294	198	4715	77	60	34	71	1220	5985	198	2416
609601	Gacheta-Mirador	Oil	1179	4224	5402	139	15175	15314	0	451	451	1202	7203	8405	3631	6217	337	5004	9033	21530	788	13409	60	71	57	63	7855	21391	788	12207
609801	Querecual	Oil	11027	15729	26756	18897	93399	112296	1	528	528	14177	31823	46001	7231	41552	2030	16186	33988	153848	2558	62187	79	73	21	74	22960	134951	2557	48010
609802	Upper Cretaceous/Tertiary	Oil	2780	667	3447	3156	12667	15822	26	146	172	3332	2924	6256	4644	52009	2436	15748	8091	67832	2608	22004	43	23	7	28	5311	64676	2582	18672
609901	La Luna/Maracaibo	Oil	35581	13491	49072	979	25722	26701	1	42	43	35745	17820	53565	8183	17576	973	12086	57256	44277	1016	65651	86	60	4	82	21675	43298	1015	29906
610301	Lower Cruse	Gas	0	20	20	0	22600	22600	0	80	80	0	3867	3867	0	20103	201	3551	20	42703	281	7418	100	53	28	52	20	42703	281	7418
610701	Tobago Trough Paleogene	Oil	8	2	11	16	7	22	0	0	0	11	3	14	1536	11957	582	4110	1546	11979	582	4124	1	0	0	0	1538	11963	582	4113
611701	Upper Jurassic-Neocomian	Oil	65	232	297	20	77	96	0	0	0	68	245	313	494	592	35	628	790	688	35	940	38	14	0	33	726	668	35	873
701301	Cretaceous-Tertiary Composite	Oil	0	10	10	4	45	49	0	0	0	1	18	19	157	856	43	343	168	905	43	362	6	5	0	5	167	901	43	361
718301	Cretaceous Composite	Oil	74	162	236	46	1903	1949	0	36	36	81	515	596	1004	10071	282	2965	1240	12020	318	3561	19	16	11	17	1166	11974	318	3480
719201	Tertiary Niger Delta (Agbada/Akata)	Oil	16598	17925	34522	6232	87579	93811	10	2832	2842	17646	35353	53000	40487	132716	6034	68640	75010	226526	8876	121640	46	41	32	44	58412	220295	8866	103994
720301	Melania-Gamba	Oil	708	1044	1752	62	780	843	0	15	15	718	1189	1908	727	3674	172	1511	2480	4517	187	3419	71	19	8	56	1772	4455	187	2701
720302	Azile-Senonian	Oil	1278	836	2114	203	1632	1835	0	10	10	1312	1118	2430	5031	13230	625	7861	7145	15065	636	10291	30	12	2	24	5867	14862	636	8979
720303	Congo Delta Composite	Oil	3693	6052	9745	838	8605	9443	0	39	39	3833	7525	11357	23198	69582	3374	38169	32943	79025	3413	49527	30	12	1	23	29250	78186	3413	45694
720304	Cuanza Composite	Oil	86	20	107	46	13	59	0	0	0	94	23	116	790	1558	73	1123	897	1617	73	1239	12	4	0	9	810	1571	73	1146
730301	Cretaceous Composite	Gas	0	0	0	0	6015	6015	0	0	0	0	1003	1003	116	3603	163	879	116	9618	163	1882	0	63	0	53	116	9618	163	1882
802601	Patala-Namal	Oil	204	121	324	807	1174	1981	9	32	41	347	349	696	145	551	27	264	469	2533	69	960	69	78	60	72	266	1726	60	613
803401	Sylhet-Kopili/Barail-Tipam Composite	Oil	911	1625	2536	2039	4495	6534	0	5	5	1251	2379	3630	399	1178	67	663	2935	7712	72	4292	86	85	7	85	2024	5673	72	3042
804201	Sembar-Goru/Ghazij	Gas	111	70	180	15101	20272	35373	6	57	63	2633	3506	6139	119	29325	1033	6039	299	64697	1096	12178	60	55	6	50	188	49596	1091	9545
804301	Eocene-Miocene Composite	Oil	3375	5065	8440	6228	17965	24193	4	263	267	4417	8323	12739	2091	12944	418	4666	10531	37137	685	17406	80	65	39	73	7156	30909	681	12989
804701	Permian Coal	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
804702	Jalangi-Sylhet/Burdwan Composite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	4613	56	888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
804703	Jenam/Bhuban-Bokabil	Gas	3	2	4	2669	9620	12289	3	48	51	451	1653	2104	39	50479	218	8670	43	62767	269	10773	10	20	19	20	41	60098	266	10323
804801	Eocene to Miocene Composite	Gas	528	188	716	722	9298	10020	2	61	63	651	1798	2449	724	20521	785	4930	1441	30541	848	7379	50	33	7	33	912	29819	846	6728


																					
