Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1015	Volga-Ural Region	onshore	10150201	Permian Reefs/Thrust Folds	oil	100	MMBO	3	1	13.81286185	38.25067537	81.18342091	41.61726403	10.60648508	30.529036	68.82869898	33.89737473	0.595093622	1.78460225	4.320557172	2.034685901
1015	Volga-Ural Region	onshore	10150201	Permian Reefs/Thrust Folds	gas	100	BCFG	18	1	NA	NA	NA	NA	629.4441955	1468.277462	2543.84614	1513.470002	36.54428942	87.03976866	159.2611228	90.93031346
1016	North Caspian Basin	onshore	10160101	North and West Margins Subsalt Pinnacle Reefs	oil	100	MMBO	20	1	603.6127229	1463.983126	2630.498944	1521.864445	1105.815829	2855.635475	5665.751814	3051.766255	60.98941915	166.1290148	361.5458723	182.7473641
1016	North Caspian Basin	onshore	10160101	North and West Margins Subsalt Pinnacle Reefs	gas	100	BCFG	120	1	NA	NA	NA	NA	8130.181498	24743.77018	56118.73493	27492.58034	395.2768823	1328.143002	3478.409503	1553.890511
1016	North Caspian Basin	onshore	10160102	North and West Margins Subsalt Barrier Reefs	oil	100	MMBO	10	1	326.6783206	606.936514	1040.236307	637.1353175	466.3608004	900.7512203	1619.805046	955.665615	24.85121094	52.8138216	104.5335842	57.25938578
1016	North Caspian Basin	onshore	10160102	North and West Margins Subsalt Barrier Reefs	gas	100	BCFG	60	1	NA	NA	NA	NA	1685.41148	3152.723726	5423.502476	3315.290376	24.04373126	47.00529038	84.7675668	49.7656718
1016	North Caspian Basin	onshore	10160103	East and Southeast Margins Subsalt	oil	100	MMBO	10	1	825.6308541	2076.043324	3957.705379	2196.37924	1615.756725	4193.593925	8520.175082	4514.613172	88.91665218	245.5442101	542.6091156	271.3038567
1016	North Caspian Basin	onshore	10160103	East and Southeast Margins Subsalt	gas	100	BCFG	60	1	NA	NA	NA	NA	740.9787619	1995.031111	4759.968608	2266.576113	36.05872363	98.78764165	240.3660427	113.3836037
1016	North Caspian Basin	onshore	10160104	South Margin Subsalt	oil	15.5	MMBO	20	1	653.6881473	2148.822457	5014.409114	2397.429995	1293.854485	4326.663078	10614.07301	4932.819396	71.93247619	254.2654183	666.4072008	295.9760804
1016	North Caspian Basin	onshore	10160104	South Margin Subsalt	gas	17	BCFG	120	1	NA	NA	NA	NA	1489.631552	5154.136068	13907.70908	6068.302684	35.82862665	127.1132544	353.2365504	151.6716337
1016	North Caspian Basin	offshore	10160104	South Margin Subsalt	oil	84.5	MMBO	20	1	3563.654739	11714.54823	27336.61743	13069.86029	7053.593807	23587.29226	57863.81739	26891.82187	392.1480153	1386.156635	3632.994095	1613.547019
1016	North Caspian Basin	offshore	10160104	South Margin Subsalt	gas	83	BCFG	120	1	NA	NA	NA	NA	7272.906989	25164.31139	67902.34434	29627.59546	174.9280007	620.6117712	1724.625511	740.5144471
1016	North Caspian Basin	onshore	10160106	Suprasalt	oil	89.5	MMBO	3	1	1054.128563	2896.848868	5977.430026	3130.020264	1114.538407	3356.763111	7894.487472	3795.683517	62.24517681	196.1757946	498.1094359	227.4079045
1016	North Caspian Basin	onshore	10160106	Suprasalt	gas	89	BCFG	18	1	NA	NA	NA	NA	2086.005807	4782.885717	8884.268029	5066.871191	36.04822647	99.04999921	242.048756	113.4878402
1016	North Caspian Basin	offshore	10160106	Suprasalt	oil	10.5	MMBO	3	1	123.6687141	339.8537778	701.2627405	367.2090812	130.7559025	393.8101974	926.1689213	445.3036529	7.302506777	23.01503735	58.43741985	26.67913963
1016	North Caspian Basin	offshore	10160106	Suprasalt	gas	11	BCFG	18	1	NA	NA	NA	NA	257.8209424	591.1431785	1098.055599	626.2425067	4.455398778	12.24213473	29.91613838	14.02658699
1050	South Barents Basin	offshore	10500102	South Barents and Ludlov Saddle	oil	85	MMBO	20	1	52.03407719	184.6824673	503.2751659	218.8564018	125.3284652	453.9419727	1291.309542	547.5557045	7.010313328	26.56820062	80.22306347	32.85080225
1050	South Barents Basin	offshore	10500102	South Barents and Ludlov Saddle	gas	85	BCFG	120	1	NA	NA	NA	NA	46357.50158	146107.0964	320681.9506	160309.8918	860.2314873	2888.076283	7233.276515	3315.844341
1059	Ludlov Saddle	offshore	10500102	South Barents and Ludlov Saddle	oil	15	MMBO	20	1	9.18248421	32.59102364	88.81326458	38.62171796	22.11678797	80.10740695	227.8781545	96.62747727	1.237114117	4.688505993	14.1570112	5.797200397
1059	Ludlov Saddle	offshore	10500102	South Barents and Ludlov Saddle	gas	15	BCFG	120	1	NA	NA	NA	NA	8180.735573	25783.60524	56590.93245	28289.9809	151.8055566	509.6605206	1276.460562	585.1490014
1060	North Barents Basin	offshore	10500103	North Barents	oil	100	MMBO	20	0.95	21.37443751	121.3620974	287.0748767	135.1486216	43.80735286	299.5044038	738.7362755	338.4377923	2.073835028	17.61659617	46.2287034	20.3381103
1060	North Barents Basin	offshore	10500103	North Barents	gas	100	BCFG	120	0.95	NA	NA	NA	NA	2560.274381	54525.23906	126925.8648	59481.97417	43.91766725	1074.073853	2838.000972	1229.773667
1108	Azov-Kuban Basin	onshore	11080101	Tertiary Foredeep	oil	89.95	MMBO	2	1	80.31881997	239.5407272	460.1303572	251.6531706	96.96476563	342.4040162	923.5137212	404.990005	5.461827336	20.07539573	57.48376816	24.32040446
1108	Azov-Kuban Basin	onshore	11080101	Tertiary Foredeep	gas	74	BCFG	12	1	NA	NA	NA	NA	705.6774027	1923.95139	3483.007929	1989.328386	10.22294134	28.70708742	58.88815425	30.9275078
1108	Azov-Kuban Basin	offshore	11080101	Tertiary Foredeep	oil	10.05	MMBO	2	1	8.973920408	26.7635832	51.40978421	28.11689121	10.83375091	38.25636868	103.1830228	45.24902224	0.610243076	2.242998634	6.422588882	2.717288103
1108	Azov-Kuban Basin	offshore	11080101	Tertiary Foredeep	gas	26	BCFG	12	1	NA	NA	NA	NA	247.9407091	675.9829209	1223.759543	698.9532167	3.591844255	10.08627396	20.69043257	10.86642166
1108	Azov-Kuban Basin	onshore	11080102	Foreland Slope	gas	32	BCFG	12	1	NA	NA	NA	NA	873.1275135	2080.184107	3833.540958	2187.69058	7.720693607	20.56152881	47.32652858	23.10208093
1108	Azov-Kuban Basin	offshore	11080102	Foreland Slope	oil	100	MMBO	2	1	11.28488788	38.84271858	115.4772521	47.75288932	12.83414724	45.89219795	142.7860635	57.41895111	0.717981584	2.684070572	8.722882165	3.43919848
1108	Azov-Kuban Basin	offshore	11080102	Foreland Slope	gas	68	BCFG	12	1	NA	NA	NA	NA	1855.395966	4420.391228	8146.274535	4648.842482	16.40647391	43.69324871	100.5688732	49.09192197
1108	Azov-Kuban Basin	onshore	11080103	Subsalt Jurassic	oil	100	MMBO	7	1	25.58638417	79.33822381	189.7432254	89.85383874	34.9543116	117.0697752	309.7900689	137.4293019	1.934348845	6.824070174	19.30165261	8.233319458
1108	Azov-Kuban Basin	onshore	11080103	Subsalt Jurassic	gas	100	BCFG	42	1	NA	NA	NA	NA	626.5691098	1901.99347	4134.107398	2081.63278	17.4424923	55.69029185	130.8606242	62.54679976
1109	Middle Caspian Basin	onshore	11090101	Foldbelt-Foothills	oil	50.6	MMBO	7	1	556.4774466	1012.144738	1728.056708	1059.621798	1359.042745	2555.255847	4560.128964	2706.930247	80.41089293	152.7629648	276.7455906	162.4092338
1109	Middle Caspian Basin	onshore	11090101	Foldbelt-Foothills	gas	80	BCFG	42	1	NA	NA	NA	NA	3774.786798	7047.658264	11874.41284	7329.473307	107.2863396	208.7547745	370.3937413	219.8770363
1109	Middle Caspian Basin	offshore	11090101	Foldbelt-Foothills	oil	49.4	MMBO	7	1	543.280353	988.1413055	1687.075126	1034.492428	1326.812482	2494.656894	4451.983613	2642.734273	78.50391523	149.1401276	270.182454	158.5576314
1109	Middle Caspian Basin	offshore	11090101	Foldbelt-Foothills	gas	20	BCFG	42	1	NA	NA	NA	NA	943.6966996	1761.914566	2968.60321	1832.368327	26.82158489	52.18869362	92.59843532	54.96925907
1109	Middle Caspian Basin	onshore	11090102	Terek-Sunzha Subsalt Jurassic	oil	100	MMBO	20	0.85	0	264.4456338	633.4380831	282.761841	0	1290.637439	3270.478508	1412.855891	0	77.04475275	197.6787368	84.77426356
1109	Middle Caspian Basin	onshore	11090102	Terek-Sunzha Subsalt Jurassic	gas	100	BCFG	120	0.85	NA	NA	NA	NA	0	10488.11398	18245.16872	10051.14865	0	619.8081755	1139.47223	603.2971667
1109	Middle Caspian Basin	onshore	11090103	Foreland Slope and Foredeep	oil	59.5	MMBO	7	1	142.3380726	253.616416	445.2074738	268.9601133	200.9395034	376.8411403	692.8188038	403.2693565	11.88825329	22.54871743	42.03724004	24.20415796
