Assessment Unit Code	Asssement Unit Name	Field Type 	Estimated Mean Number of Undiscovered Fields	Units for Minimum  Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																				
10160102	North and West Margins Subsalt Barrier Reefs	 gas	26.2	 BCFG	60	0.00	0.00	0.00	0.00	45.94	42.02	10.11	1.79	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10160103	East and Southeast Margins Subsalt	 oil	41.4	 MMBO	10	0.00	0.00	0.00	0.00	26.93	33.29	20.40	11.19	5.28	2.09	0.69	0.13	0.00	0.00	0.00	0.00	0.00	0.00
10160103	East and Southeast Margins Subsalt	 gas	10.4	 BCFG	60	0.00	0.00	0.00	0.00	36.06	34.98	17.18	7.69	2.95	0.94	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10160104	South Margin Subsalt	 oil	29.3	 MMBO	20	0.00	0.00	0.00	0.00	0.00	8.08	18.16	19.46	18.06	14.61	10.24	6.17	3.18	1.40	0.52	0.12	0.00	0.00
10160104	South Margin Subsalt	 gas	29.3	 BCFG	120	0.00	0.00	0.00	0.00	0.00	32.15	25.61	16.52	11.03	6.98	4.06	2.12	1.00	0.42	0.12	0.00	0.00	0.00
10160106	Suprasalt	 oil	129.5	 MMBO	3	0.00	0.00	1.96	21.44	29.30	24.18	14.35	6.28	2.02	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10160106	Suprasalt	 gas	95.2	 BCFG	18	0.00	0.00	13.05	47.59	25.78	10.00	2.93	0.64	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10500101	Kolguyev Terrace	 oil	16.3	 MMBO	10	0.00	0.00	0.00	0.00	35.50	36.32	17.35	7.34	2.61	0.76	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10500101	Kolguyev Terrace	 gas	48.9	 BCFG	60	0.00	0.00	0.00	0.00	27.39	32.60	20.08	11.24	5.47	2.25	0.77	0.18	0.00	0.00	0.00	0.00	0.00	0.00
10500102	South Barents and Ludlov Saddle	 oil	4.3	 MMBO	20	0.00	0.00	0.00	0.00	0.00	33.36	41.42	17.57	5.88	1.52	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
