Assessment Unit Code	Assessment Unit Name	Field Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)	Units for Largest	Largest F95	Largest F50	Largest F5	Largest Mean
10160103	East and Southeast Margins Subsalt	gas	BCFG	60	1	NA	NA	NA	NA	740.9787619	1995.031111	4759.968608	2266.576113	36.05872363	98.78764165	240.3660427	113.3836037	BCFG	186.964818	562.2446525	2207.014735	788.16988
10160104	South Margin Subsalt	oil	MMBO	20	1	4217.342886	13863.37069	32351.02654	15467.29029	8347.448292	27913.95534	68477.8904	31824.64126	464.0804915	1640.422054	4299.401296	1909.523099	MMBO	980.6378527	3658.543375	14573.67996	5069.602188
10160104	South Margin Subsalt	gas	BCFG	120	1	NA	NA	NA	NA	8762.538541	30318.44746	81810.05343	35695.89814	210.7566274	747.7250256	2077.862061	892.1860808	BCFG	1965.08383	8681.429208	42692.04293	13407.56893
10160106	Suprasalt	oil	MMBO	3	1	1177.797277	3236.702646	6678.692767	3497.229345	1245.29431	3750.573308	8820.656393	4240.98717	69.54768359	219.1908319	556.5468558	254.0870441	MMBO	110.5552793	238.145211	442.751978	252.5602306
10160106	Suprasalt	gas	BCFG	18	1	NA	NA	NA	NA	2343.826749	5374.028896	9982.323628	5693.113697	40.50362525	111.2921339	271.9648944	127.5144272	BCFG	180.8581612	361.4770006	690.8676232	388.7602378
10500101	Kolguyev Terrace	oil	MMBO	10	1	121.0658531	500.1866951	1216.208328	562.5224855	290.1145684	1225.532221	3127.758985	1405.991995	16.19612536	71.26447978	196.9766027	84.46304138	MMBO	33.86872054	109.1814386	377.0566666	142.8777547
10500101	Kolguyev Terrace	gas	BCFG	60	1	NA	NA	NA	NA	3611.738689	14573.95964	33744.96921	16147.72778	135.2842348	565.6366767	1429.154394	646.7424573	BCFG	695.4578076	2363.727207	7135.95809	2909.922618
10500102	South Barents and Ludlov Saddle	oil	MMBO	20	1	61.2165614	217.2734909	592.0884305	257.4781198	147.4452531	534.0493797	1519.187697	644.1831818	8.247427445	31.25670662	94.38007466	38.64800265	MMBO	33.41767613	85.30098172	306.7304885	115.225881
10500102	South Barents and Ludlov Saddle	gas	BCFG	120	1	NA	NA	NA	NA	54538.23715	171890.7016	377272.883	188599.8727	1012.037044	3397.736804	8509.737077	3900.993343	BCFG	7942.554207	25648.58537	66298.94902	29825.87557
10500103	North Barents	oil	MMBO	20	0.95	21.37443751	121.3620974	287.0748767	135.1486216	43.80735286	299.5044038	738.7362755	338.4377923	2.073835028	17.61659617	46.2287034	20.3381103	MMBO	28.70359062	56.7125556	178.0275767	73.65231454
10500103	North Barents	gas	BCFG	120	0.95	NA	NA	NA	NA	2560.274381	54525.23906	126925.8648	59481.97417	43.91766725	1074.073853	2838.000972	1229.773667	BCFG	2817.105547	9695.08862	29715.993	11967.27443
