Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1059	Ludlov Saddle	onshore	NA	onshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1059	Ludlov Saddle	offshore	NA	offshore total	oil	NA	NA	NA	1	9.18248421	32.59102364	88.81326458	38.62171796	22.11678797	80.10740695	227.8781545	96.62747727	1.237114117	4.688505993	14.1570112	5.797200397
1059	Ludlov Saddle	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	8180.735573	25783.60524	56590.93245	28289.9809	151.8055566	509.6605206	1276.460562	585.1490014
1059	Ludlov Saddle	NA	NA	total	oil	NA	NA	NA	1	9.18248421	32.59102364	88.81326458	38.62171796	22.11678797	80.10740695	227.8781545	96.62747727	1.237114117	4.688505993	14.1570112	5.797200397
1059	Ludlov Saddle	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	8180.735573	25783.60524	56590.93245	28289.9809	151.8055566	509.6605206	1276.460562	585.1490014
1060	North Barents Basin	onshore	NA	onshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1060	North Barents Basin	onshore	NA	onshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1060	North Barents Basin	offshore	NA	offshore total	oil	NA	NA	NA	0.95	21.37443751	121.3620974	287.0748767	135.1486216	43.80735286	299.5044038	738.7362755	338.4377923	2.073835028	17.61659617	46.2287034	20.3381103
1060	North Barents Basin	offshore	NA	offshore total	gas	NA	NA	NA	0.95	NA	NA	NA	NA	2560.274381	54525.23906	126925.8648	59481.97417	43.91766725	1074.073853	2838.000972	1229.773667
1060	North Barents Basin	NA	NA	total	oil	NA	NA	NA	0.95	21.37443751	121.3620974	287.0748767	135.1486216	43.80735286	299.5044038	738.7362755	338.4377923	2.073835028	17.61659617	46.2287034	20.3381103
1060	North Barents Basin	NA	NA	total	gas	NA	NA	NA	0.95	NA	NA	NA	NA	2560.274381	54525.23906	126925.8648	59481.97417	43.91766725	1074.073853	2838.000972	1229.773667
