Assessment Unit Code	Assessment Unit Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
11080102	Foreland Slope	Gas	1	19	20	6556	8039	14595	66	-16	49	1159	1343	2502	48	6894	76	1272	68	21489	125	3774	30	68	40	66	67	14933	59	2615
11080103	Subsalt Jurassic	Gas	4	1	5	84	81	165	0	4	5	19	18	37	90	2219	71	530	95	2384	75	567	5	7	6	7	91	2300	75	549
11090101	Foldbelt-Foothills	Oil	752	2738	3490	192	7648	7840	8	22	29	792	4034	4826	2094	14512	596	5109	5584	22351	625	9934	62	35	5	49	4832	22159	617	9142
11090102	Terek-Sunzha Subsalt Jurassic	Gas	0	0	0	0	0	0	0	0	0	0	0	0	283	11464	688	2882	283	11464	688	2882	0	0	0	0	283	11464	688	2882
11090103	Foreland Slope and Foredeep	Oil	0	0	0	0	0	0	0	0	0	0	0	0	452	1804	64	816	452	1804	64	817	0	0	0	0	452	1804	64	817
11090201	South Mangyshlak (Entire)	Oil	2406	2835	5241	28	5679	5707	22	24	46	2433	3806	6239	651	2262	72	1100	5893	7969	118	7339	89	72	39	85	3486	7941	96	4906
11090301	Offshore Prikumsk Zone	Oil	0	0	0	0	0	0	0	0	0	0	0	0	789	3910	141	1582	789	3910	141	1582	0	0	0	0	789	3910	141	1582
11090302	Onshore Stavropol-Prikumsk	Oil	1200	-380	820	9670	3829	13499	18	-15	3	2830	243	3073	287	1163	40	521	1107	14662	44	3594	74	92	7	85	-93	4992	25	764
11090303	Central Caspian Offshore	Oil	0	0	0	0	0	0	0	0	0	0	0	0	331	4572	69	1161	331	4572	69	1161	0	0	0	0	331	4572	69	1161
11120101	Apsheron-Pribalkhan Zone	Oil	10581	4512	15093	7133	11596	18729	90	144	234	11860	6588	18448	3091	7908	306	4715	18183	26636	540	23163	83	70	43	80	7602	19503	451	11303
11120102	Lower Kura Depression and Adjacent Shelf	Oil	1035	1004	2040	1285	6939	8224	119	64	182	1368	2224	3592	1275	32091	1219	7843	3315	40315	1401	11435	62	20	13	31	2279	39030	1282	10067
11120103	Gograndag-Okarem Zone and Adjacent Shelf	Oil	64	242	306	173	8868	9042	13	74	87	106	1794	1900	4764	47515	2396	15079	5070	56557	2483	16978	6	16	4	11	5005	56383	2470	16873
11120104	Central Offshore	Oil	0	0	0	0	0	0	0	0	0	0	0	0	6410	82836	4051	24267	6410	82836	4051	24267	0	0	0	0	6410	82836	4051	24267
11120105	Iran Onshore/Nearshore	Oil	0	0	0	0	0	0	0	0	0	0	0	0	185	2960	142	821	185	2960	142	821	0	0	0	0	185	2960	142	821
11500101	Mesozoic Sandstone Reservoirs	Oil	459	1827	2286	0	943	943	0	0	0	459	1984	2443	814	89	2	831	3100	1033	2	3274	74	91	0	75	2641	1033	2	2815
11500201	Jurassic-Tertiary	Oil	0	80	80	0	1450	1450	0	8	8	0	330	330	139	2180	69	572	220	3630	77	902	37	40	11	37	220	3630	77	902
11500301	Upper Paleozoic Carbonates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8500	374	1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11540101	Northern and Western Areas	Gas	48	92	140	24483	27929	52412	81	30	112	4210	4777	8987	70	9547	161	1822	210	61959	273	10809	67	85	41	83	162	37476	191	6599
11540102	Karabil-Badkhyz (Southern Area)	Gas	0	110	111	11053	47057	58110	24	89	113	1867	8042	9909	88	7657	127	1491	198	65767	240	11399	56	88	47	87	198	54714	215	9532
11540103	Murgab Depression Suprasalt	Gas	1	-1	0	26549	22967	49516	2	101	103	4427	3929	8356	0	4684	33	813	0	54200	136	9169	NA	91	76	91	-1	27651	134	4742
11540104	Murgab Depression Subsalt	Gas	31	485	516	16456	54120	70576	84	764	848	2858	10268	13126	113	141762	3675	27414	628	212338	4522	40540	82	33	19	32	597	195883	4438	37683
11740101	Upper Jurassic-Cretaceous Sandstones	Oil	45819	72153	117972	29287	68295	97582	102	662	764	50802	84198	135000	42947	96934	5749	64852	160919	194516	6514	199852	73	50	12	68	115100	165229	6412	149050
11740102	Self-Sourced Bazhenov Fractured Reservoirs	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11740201	Pre-Upper Jurassic	Oil	645	11111	11756	443	4738	5180	0	3	3	719	11903	12623	7474	5516	316	8709	19230	10697	319	21332	61	48	1	59	18584	10254	319	20613
11740301	Northern West Siberian Onshore Gas	Gas	66	10119	10185	188736	896852	1085588	170	2156	2326	31692	161751	193442	1304	136608	3668	27741	11489	1222196	5995	221183	89	89	39	87	11424	1033460	5825	189492
11740302	South Kara Sea Offshore	Gas	0	0	0	0	81700	81700	0	48	48	0	13665	13665	3510	403875	10739	81561	3510	485575	10787	95226	0	17	0	14	3510	485575	10787	95226
12070101	Yenisey Foldbelt Riphean-Craton Margin Riphean	Oil	0	34	34	0	5052	5052	0	60	60	0	936	936	1213	16983	854	4897	1246	22035	914	5833	3	23	7	16	1246	22035	914	5833
12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	Gas	1	2005	2006	0	30210	30210	0	360	360	1	7400	7401	1611	46039	2194	11478	3617	76249	2554	18879	55	40	14	39	3616	76249	2554	18878
13220101	Onshore and Offshore Northeastern Shelf	Oil	754	1428	2182	162	22221	22383	4	161	165	785	5292	6077	2582	57451	2999	15156	4764	79835	3164	21234	46	28	5	29	4010	79673	3160	20449
20040101	Ma'Rib-Al Jawf/Shabwah/Masila	Oil	649	1284	1933	0	17120	17120	31	281	312	680	4418	5098	2740	16982	924	6494	4673	34102	1236	11592	41	50	25	44	4025	34102	1204	10912
20140101	Ghaba-Makarem Combined Structural	Oil	715	1313	2028	149	20189	20339	0	507	507	740	5185	5925	743	10112	443	2871	2771	30450	950	8796	73	67	53	67	2056	30301	950	8056
20160101	Fahud-Huqf Combined Structural	Oil	1259	1426	2685	536	7097	7633	7	51	58	1355	2660	4015	1304	8206	287	2959	3990	15839	345	6974	67	48	17	58	2731	15303	338	5620
