Assessment Unit Code	Assessment Unit Name	Field Type	Resource Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Units for Fractiles	F100	F95	F90	F85	F80	F75	F70	F65	F60	F55	F50	F45	F40	F35	F30	F25	F20	F15	F10	F5	F0
60900102	Southern	oil	oil	MMBO	5	1	MMBO	13.91880602	51.98467788	67.06070862	80.21849686	92.38840692	104.4475884	116.3837081	128.6418379	141.0834442	154.6213161	168.2315235	182.8937646	198.5967116	214.7576058	233.2820952	253.3497196	275.8964794	302.8817397	336.6167682	391.0885796	862.1999016
60900102	Southern	oil	gas	MMBO	5	1	BCFG	1.942148461	9.306880873	12.38610571	15.0136413	17.45495877	19.92630357	22.34279134	24.96854002	27.64334639	30.40905784	33.27241295	36.25898941	39.6074863	43.37829137	47.38708857	52.15556566	58.0792766	65.44492329	75.84351318	92.8681251	224.1120358
60900102	Southern	oil	NGL	MMBO	5	1	MMBNGL	0.084918451	0.523385351	0.700465368	0.852987066	1.000179917	1.145373288	1.291040159	1.445235042	1.600373832	1.766234234	1.943577383	2.138343806	2.339550837	2.568084579	2.830076422	3.127401745	3.503436302	3.969952654	4.635960077	5.760467893	19.28806273
60900102	Southern	oil	largest	MMBO	5	1	MMBO	6.707222491	18.30356617	22.3954676	25.59972939	28.64898247	31.52015	34.37439288	37.31785307	40.23474836	43.32047442	46.63880091	50.25835552	54.23775538	58.81793202	64.12199319	70.27644451	78.34917619	88.75721009	104.5284003	133.1779094	249.7645428
60900102	Southern	gas	gas	BCFG	30	1	BCFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60900102	Southern	gas	liquids	BCFG	30	1	MMBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60900102	Southern	gas	largest	BCFG	30	1	BCFG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900103	Eastern	oil	oil	MMBO	4	1	MMBO	4.337996364	25.20685421	33.5534138	40.73962455	47.31594124	53.9156443	60.20441804	66.8718478	73.69735563	80.72173841	87.99420519	95.55809302	103.8798055	112.5919328	122.4200727	133.0518769	145.5003702	159.4627307	178.0044338	207.4590292	459.987575
60900103	Eastern	oil	gas	MMBO	4	1	BCFG	18.15619594	140.3295532	190.8330096	232.7113669	271.6489461	308.2472714	346.4782836	385.5256157	426.1607545	469.9207811	514.9130876	561.7140496	609.2995971	663.2504615	723.5670087	791.6572389	869.5627357	969.9384672	1095.882116	1306.788557	3727.914834
60900103	Eastern	oil	NGL	MMBO	4	1	MMBNGL	0.690087018	7.854826819	10.73123519	13.29958657	15.54203041	17.81862971	20.02065712	22.38052882	24.79879558	27.35443747	30.01405969	32.80883406	35.8409216	39.10919883	42.89423762	47.33789316	52.390403	58.83457556	67.56969113	81.77468823	304.3421095
60900103	Eastern	oil	largest	MMBO	4	1	MMBO	4.337996364	10.97617987	13.48519042	15.30312781	17.01632689	18.60916209	20.29135475	21.92780983	23.66276775	25.44937734	27.36706407	29.45593842	31.73738511	34.28458847	37.36164617	40.888615	45.34023442	51.41393421	59.99585734	76.0368275	149.9686083
60900103	Eastern	gas	gas	BCFG	24	1	BCFG	69.45904523	626.32103	844.69322	1005.374163	1147.182036	1286.896295	1418.454275	1548.917742	1678.279614	1816.154891	1951.050169	2088.351023	2238.178615	2405.173816	2583.0645	2786.311332	3024.824377	3320.81523	3705.088587	4328.180814	10423.1635
60900103	Eastern	gas	liquids	BCFG	24	1	MMBL	1.407010206	16.36144029	22.05252375	26.70961469	31.11042605	35.02894346	39.01150168	42.92843526	46.9765323	51.27277841	55.67222473	60.50295249	65.43597893	70.8552668	77.01494471	84.08251137	92.88748425	103.63306	117.9149943	141.812485	370.2463948
