Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
117403	Northern West Siberian Mesozoic Composite	oil	1	930.9920188	4243.283895	10621.50646	4814.116463	4858.592953	22778.45796	60910.85199	26490.07687	272.4369721	1327.99659	3815.157252	1589.800812
117403	Northern West Siberian Mesozoic Composite	gas	1	NA	NA	NA	NA	137973.1339	466590.8668	1046792.766	513993.2775	3204.515007	11314.61919	27643.50939	12817.52224
120701	Yenisey Foldbelt Riphean-Craton Margin Riphean	oil	1	146.9572202	1006.526529	2978.840801	1212.649411	695.4275692	4863.72955	15455.8947	6053.690542	39.76696295	282.2653216	957.9036293	362.3764891
120701	Yenisey Foldbelt Riphean-Craton Margin Riphean	gas	1	NA	NA	NA	NA	1108.688842	9283.655311	26349.97615	10929.30454	48.63157712	406.5582146	1231.815954	491.6171267
121001	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	oil	1	375.9637862	1421.589565	3487.485469	1610.909579	1760.792592	6911.111048	18244.13121	8051.878338	98.94263896	401.6576753	1139.466115	482.3695807
121001	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	gas	1	NA	NA	NA	NA	14961.01077	37807.94949	61776.1798	37986.93402	640.9121239	1648.962815	2988.657931	1711.261868
132201	North Sakhalin Neogene	oil	1	673.1277251	2356.344307	5224.705769	2581.749011	3279.093698	11664.11065	26847.55339	12902.9776	183.2256657	677.961342	1688.405959	774.3913088
132201	North Sakhalin Neogene	gas	1	NA	NA	NA	NA	10736.35834	40858.50756	90439.17601	44548.39078	520.134268	2000.655495	4679.676653	2224.911509
200401	Madbi Amran/Qishn	oil	1	1028.194922	2673.731237	4652.250596	2740.376368	3815.728213	10368.96156	20156.1224	10970.08736	212.4462776	604.6462594	1294.877884	659.1330312
200401	Madbi Amran/Qishn	gas	1	NA	NA	NA	NA	2655.846437	5860.530119	9849.531952	6012.144179	106.2785181	250.5943296	470.4910463	264.4351431
201401	North Oman Huqf/'Q'-Haushi	oil	1	220.638803	684.3602874	1449.841101	742.840823	639.2386522	2032.360777	4490.935774	2230.282898	46.50987332	150.2504051	344.1705702	167.1967857
201401	North Oman Huqf/'Q'-Haushi	gas	1	NA	NA	NA	NA	2202.077514	7392.25026	15186.17291	7881.689521	75.24345761	255.5086618	543.7361351	275.781584
201601	North Oman Huqf-Shu'aiba	oil	1	340.5060585	1166.48529	2738.158239	1304.497549	497.8366747	1724.28853	4230.594423	1958.449241	17.26855595	60.30740444	148.5598202	68.51300201
201601	North Oman Huqf-Shu'aiba	gas	1	NA	NA	NA	NA	2063.836348	5764.292773	11966.79479	6247.16925	69.82718727	200.0204787	427.3243803	218.4687118
201602	Middle Cretaceous Natih	oil	1	62.09730738	319.0919255	858.4163904	371.4483038	29.93874809	156.7501448	441.2289502	186.0339473	1.485072777	7.813038429	22.2184867	9.303191151
201602	Middle Cretaceous Natih	gas	1	NA	NA	NA	NA	26.79021057	130.0310245	491.4992735	176.9084407	1.327301813	6.474684989	24.79501393	8.85252949
