Province Code	Province Name	Field Type	Estimated Mean Number of Undiscovered Fields	Units for Minimum Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																		
4017	Vestford-Helgeland	gas	72	BCFG	60	0.00	0.00	0.00	0.00	0.31	7.85	19.75	24.09	20.74	13.58	7.38	3.64	1.64	0.69	0.26	0.06	0.00	0.00																		
4025	North Sea Graben	oil	348	MMBO	2	0.00	0.00	9.63	20.16	22.63	19.76	13.98	8.07	3.80	1.46	0.45	0.06	0.00	0.00	0.00	0.00	0.00	0.00																		
4025	North Sea Graben	gas	145	BCFG	12	0.00	0.00	9.69	23.08	24.94	19.50	12.43	6.51	2.74	0.91	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4035	Northwest German Basin	oil	8	MMBO	1	0.00	5.58	31.52	36.95	19.59	5.52	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4035	Northwest German Basin	gas	131	BCFG	6	0.00	18.76	23.98	21.32	16.15	10.39	5.62	2.54	0.95	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4036	Anglo-Dutch Basin	oil	17	MMBO	1	0.00	10.33	13.69	66.72	7.94	1.19	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4036	Anglo-Dutch Basin	gas	249	BCFG	6	0.00	2.39	2.43	63.13	20.08	7.80	2.92	0.98	0.24	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4047	North Carpathian Basin	oil	76	MMBO	1	0.00	28.61	34.42	21.67	10.28	3.77	1.06	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4047	North Carpathian Basin	gas	141	BCFG	6	0.00	27.82	36.60	22.47	9.57	2.90	0.62	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4048	Pannonian Basin	oil	88	MMBO	1	0.00	31.89	37.82	20.30	7.60	2.04	0.34	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4048	Pannonian Basin	gas	118	BCFG	6	0.00	22.42	36.56	24.82	11.42	3.79	0.91	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4057	Transylvanian Basin	oil	0	MMBO	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4057	Transylvanian Basin	gas	47	BCFG	6	0.00	32.89	27.42	18.66	11.28	5.89	2.60	0.96	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4060	Po Basin	oil	11	MMBO	1	0.00	0.00	8.01	20.10	24.16	21.29	14.48	7.64	3.13	0.99	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4060	Po Basin	gas	239	BCFG	6	0.00	16.25	24.98	23.14	17.25	10.48	5.15	2.02	0.63	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4061	Carpathian-Balkanian Basin	oil	115	MMBO	1	0.00	11.64	28.05	29.00	19.09	8.55	2.80	0.69	0.15	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4061	Carpathian-Balkanian Basin	gas	55	BCFG	6	0.00	10.83	32.92	33.22	17.09	5.04	0.88	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
4068	Provence Basin	oil	4	MMBO	20	0.00	0.00	0.00	0.00	0.00	26.09	34.54	20.96	11.07	4.93	1.81	0.54	0.06	0.00	0.00	0.00	0.00	0.00																		
4068	Provence Basin	gas	38	BCFG	120	0.00	0.00	0.00	0.00	0.00	8.72	24.74	25.11	19.59	12.27	6.17	2.47	0.79	0.14	0.00	0.00	0.00	0.00																		
5200	East Greenland Rift Basins	oil	250	MMBO	20	0.00	0.00	0.00	0.00	0.00	15.86	25.04	20.98	15.95	10.73	6.29	3.17	1.37	0.50	0.11	0.00	0.00	0.00																		
5200	East Greenland Rift Basins	gas	50	BCFG	120	0.00	0.00	0.00	0.00	0.00	9.71	29.14	27.38	18.64	9.76	3.93	1.21	0.24	0.00	0.00	0.00	0.00	0.00																		
5203	Veracruz Basin	oil	51	MMBO	1	0.00	14.59	20.96	21.49	17.98	12.34	7.05	3.45	1.46	0.54	0.14	0.01	0.00	0.00	0.00	0.00	0.00	0.00																		
5215	Labrador-Newfoundland Shelf	oil	30	MMBO	10	0.00	0.00	0.00	0.00	6.04	32.24	33.24	19.23	7.22	1.80	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5215	Labrador-Newfoundland Shelf	gas	5	BCFG	60	0.00	0.00	0.00	0.00	3.59	43.35	39.85	11.73	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5243	Alberta Basin	oil	399	MMBO	0.5	38.84	31.92	18.39	7.85	2.43	0.52	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5243	Alberta Basin	gas	1114	BCFG	3	60.31	22.67	10.00	4.39	1.78	0.63	0.17	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5244	Williston Basin	oil	115	MMBO	0.5	53.58	32.30	10.78	2.78	0.53	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5244	Williston Basin	gas	118	BCFG	3	70.39	20.00	6.68	2.17	0.63	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5245	Rocky Mountain Deformed Belt	oil	4	MMBO	0.5	50.05	31.68	12.67	4.18	1.16	0.22	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5245	Rocky Moutain Deformed Belt	gas	252	BCFG	3	52.41	24.26	12.85	6.35	2.76	1.02	0.29	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5301	Tampico-Misantla Basin	oil	50	MMBO	1	0.00	16.97	21.88	20.78	16.81	11.50	6.67	3.32	1.42	0.52	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5301	Tampico-Misantla Basin	gas	3	BCFG	6	0.00	16.83	22.88	22.85	17.96	10.76	5.32	2.29	0.85	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5302	Veracruz Basin	gas	47	BCFG	6	0.00	18.40	23.73	21.52	16.43	10.49	5.63	2.54	0.96	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
5304	Saline-Comalcalco Basin	oil	90	MMBO	1	0.00	0.51	3.32	14.80	18.99	19.41	16.77	12.27	7.56	3.91	1.69	0.61	0.15	0.00	0.00	0.00	0.00	0.00																		
5304	Saline-Comalcalco Basin	gas	19	BCFG	6	0.00	3.12	6.47	17.93	20.70	19.02	14.70	9.54	5.15	2.30	0.83	0.25	0.00	0.00	0.00	0.00	0.00	0.00																		
5305	Villahermosa Uplift	oil	97	MMBO	1	0.00	0.08	1.76	12.02	18.66	20.79	18.66	13.69	8.20	3.99	1.58	0.51	0.07	0.00	0.00	0.00	0.00	0.00																		
5305	Villahermosa Uplift	gas	4	BCFG	6	0.00	0.04	2.59	14.95	21.25	21.68	17.81	11.79	6.21	2.59	0.87	0.20	0.00	0.00	0.00	0.00	0.00	0.00																		
5307	Campeche-Sigsbe Salt Basin	oil	31	MMBO	1	0.00	0.48	2.69	12.23	18.55	21.09	17.91	12.88	7.80	3.96	1.68	0.60	0.13	0.00	0.00	0.00	0.00	0.00																		
5307	Campeche-Sigsbe Salt Basin	gas	5	BCFG	6	0.00	0.00	2.90	17.10	21.52	20.79	16.62	11.02	6.03	2.71	1.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00																		
5308	Yucatan Platform	oil	15	MMBO	1	0.00	1.69	8.63	15.04	21.36	21.73	14.69	8.84	4.71	2.17	0.84	0.26	0.03	0.00	0.00	0.00	0.00	0.00																		
5308	Seirra Madre de Chiapas-Peten Foldbelt	oil	12	MMBO	1	0.00	0.07	1.54	11.59	18.57	20.97	18.94	13.91	8.30	4.01	1.56	0.49	0.06	0.00	0.00	0.00	0.00	0.00																		
5308	Yucatan Platform	gas	1	BCFG	6	0.00	0.69	12.93	34.09	32.27	14.46	3.90	1.02	0.42	0.16	0.05	0.01	0.00	0.00	0.00	0.00	0.00	0.00																		
5310	Seirra Madre de Chiapas-Peten Foldbelt	gas	0	BCFG	6	0.00	0.07	1.77	11.32	20.47	23.14	19.95	13.25	6.68	2.53	0.72	0.09	0.00	0.00	0.00	0.00	0.00	0.00																		
6021	Guyana-Suriname Basin	oil	117	MMBO	1	0.00	6.22	7.29	5.82	11.60	18.46	16.77	13.43	9.46	5.78	3.06	1.39	0.53	0.17	0.01	0.00	0.00	0.00																		
6021	Guyana-Suriname Basin	gas	30	BCFG	6	0.00	5.62	7.09	5.68	14.86	24.60	18.91	12.11	6.57	2.99	1.15	0.35	0.07	0.00	0.00	0.00	0.00	0.00																		
6022	Foz do Amazonas Basin	oil	0	MMBO	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6022	Foz do Amazonas Basin	gas	85	BCFG	60	0.00	0.00	0.00	0.00	18.76	34.09	24.02	13.68	6.33	2.34	0.69	0.09	0.00	0.00	0.00	0.00	0.00	0.00																		
6029	Sergipe-Alagoas Basin	oil	39	MMBO	1	0.00	13.95	9.27	16.60	18.54	15.92	11.82	7.47	3.93	1.72	0.62	0.16	0.00	0.00	0.00	0.00	0.00	0.00																		
6029	Sergipe-Alagoas Basin	gas	20	BCFG	6	0.00	2.81	10.76	20.70	20.53	17.23	12.86	8.13	4.28	1.87	0.67	0.18	0.00	0.00	0.00	0.00	0.00	0.00																		
6034	Esprito Santo Basin	oil	55	MMBO	1	0.00	19.37	14.55	7.17	14.98	14.56	11.68	8.28	5.06	2.64	1.16	0.43	0.12	0.00	0.00	0.00	0.00	0.00																		
6034	Esprito Santo Basin	gas	53	BCFG	6	0.00	0.00	0.00	4.48	23.31	24.32	19.19	13.47	8.20	4.26	1.88	0.70	0.19	0.00	0.00	0.00	0.00	0.00																		
6035	Campos Basin	oil	138	MMBO	3	0.00	0.00	1.19	9.17	16.06	19.02	18.29	15.11	10.59	6.14	2.91	1.12	0.35	0.04	0.00	0.00	0.00	0.00																		
6035	Campos Basin	gas	27	BCFG	18	0.00	0.00	3.60	17.98	31.91	23.68	13.46	6.25	2.33	0.67	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6036	Santos Basin	oil	188	MMBO	4	0.00	0.00	0.00	9.41	15.29	18.80	18.72	15.67	10.98	6.39	3.07	1.22	0.40	0.04	0.00	0.00	0.00	0.00																		
6036	Santos Basin	gas	77	BCFG	24	0.00	0.00	0.00	10.21	19.43	21.63	19.04	14.00	8.60	4.40	1.87	0.66	0.15	0.00	0.00	0.00	0.00	0.00																		
6037	Pelotas Basin	oil	25	MMBO	8	0.00	0.00	0.00	0.00	12.33	22.49	23.21	18.90	12.44	6.61	2.82	0.97	0.23	0.00	0.00	0.00	0.00	0.00																		
6037	Pelotas Basin	gas	25	BCFG	48	0.00	0.00	0.00	0.00	11.18	22.91	24.33	19.61	12.44	6.22	2.44	0.75	0.12	0.00	0.00	0.00	0.00	0.00																		
6041	Putumayo-Oriente-Maranon Basin	oil	135	MMBO	1	0.00	7.54	16.70	21.61	21.18	15.70	9.64	4.86	1.99	0.66	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6041	Putumayo-Oriente-Maranon Basin	gas	3	BCFG	6	0.00	0.00	0.00	1.81	23.67	37.57	25.43	9.38	1.99	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6045	Santa Cruz-Tarija Basin	oil	87	MMBO	1	0.00	11.65	18.45	23.71	17.88	12.39	7.92	4.49	2.21	0.92	0.32	0.06	0.00	0.00	0.00	0.00	0.00	0.00																		
6045	Santa Cruz-Tarija Basin	gas	136	BCFG	6	0.00	2.85	10.33	20.87	22.60	19.04	12.90	7.02	3.05	1.06	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6055	Neuquen Basin	oil	134	MMBO	1	0.00	23.69	27.06	21.33	14.19	7.98	3.76	1.46	0.47	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6055	Neuquen Basin	gas	128	BCFG	6	0.00	17.06	26.32	23.42	16.55	9.58	4.58	1.80	0.58	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6058	San Jorge Basin	oil	73	MMBO	1	0.00	23.91	31.74	22.84	12.86	5.82	2.12	0.59	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6058	San Jorge Basin	gas	63	BCFG	6	0.00	17.85	31.59	24.51	14.56	7.25	2.98	1.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6059	Magallenes Basin	oil	95	MMBO	1	0.00	26.70	26.28	22.44	14.36	6.80	2.56	0.75	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6059	Magallenes Basin	gas	133	BCFG	6	0.00	14.43	18.46	25.11	19.96	12.13	6.16	2.60	0.91	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6060	Falklands Plateau	oil	65	MMBO	10	0.00	0.00	0.00	0.00	24.14	28.13	19.69	13.11	7.87	4.16	1.90	0.75	0.25	0.00	0.00	0.00	0.00	0.00																		
6060	Falklands Plateau	gas	33	BCFG	60	0.00	0.00	0.00	0.00	32.77	33.80	18.36	9.17	3.97	1.45	0.44	0.03	0.00	0.00	0.00	0.00	0.00	0.00																		
6063	Malvinas Basin	oil	33	MMBO	5	0.00	0.00	0.00	19.78	32.96	23.19	13.66	6.69	2.68	0.86	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6063	Malvinas Basin	gas	33	BCFG	30	0.00	0.00	0.00	17.28	31.14	23.67	15.01	7.92	3.44	1.21	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6081	Talara Basin	oil	83	MMBO	1	0.00	12.90	20.21	20.83	18.00	13.17	8.11	4.18	1.80	0.64	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6081	Talara Basin	gas	27	BCFG	6	0.00	8.19	22.32	26.29	21.57	13.11	5.97	2.03	0.51	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6083	Progreso Basin	oil	26	MMBO	1	0.00	24.95	27.35	21.08	13.81	7.61	3.48	1.31	0.39	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6083	Progreso Basin	gas	14	BCFG	6	0.00	31.46	29.74	19.74	11.07	5.19	2.02	0.64	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6090	Middle Magdalena	oil	56	MMBO	1	0.00	8.82	14.11	26.39	28.27	15.17	5.58	1.46	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6090	Middle Magdalena	gas	12	BCFG	6	0.00	0.00	0.00	17.72	29.44	25.82	16.31	7.54	2.52	0.61	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6090	Llanos Basin	gas	13	BCFG	6	0.00	1.74	9.16	18.09	23.27	21.59	14.81	7.56	2.87	0.81	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6096	Llanos Basin	oil	135	MMBO	1	0.00	24.55	19.80	16.67	13.50	10.13	6.91	4.25	2.34	1.15	0.50	0.19	0.00	0.00	0.00	0.00	0.00	0.00																		
6098	East Venezuela Basin	oil	378	MMBO	1	0.00	12.19	17.30	22.76	19.58	12.52	7.39	4.13	2.21	1.09	0.52	0.22	0.08	0.01	0.00	0.00	0.00	0.00																		
6098	East Venezuela Basin	gas	329	BCFG	6	0.00	3.10	6.81	19.22	24.92	19.82	13.27	7.46	3.51	1.37	0.44	0.08	0.00	0.00	0.00	0.00	0.00	0.00																		
6099	Maracaibo Basin	oil	124	MMBO	4	0.00	0.00	0.00	14.59	22.21	21.50	17.60	12.16	6.99	3.28	1.26	0.39	0.04	0.00	0.00	0.00	0.00	0.00																		
6099	Maracaibo Basin	gas	37	BCFG	24	0.00	0.00	0.00	32.75	30.83	19.37	10.30	4.57	1.64	0.47	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6103	Tobago Trough	oil	0	MMBO	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6103	Tobago Trough	gas	77	BCFG	30	0.00	0.00	0.00	21.20	28.85	21.01	13.98	8.20	4.15	1.79	0.65	0.16	0.00	0.00	0.00	0.00	0.00	0.00																		
6107	Lesser Antilles Deformed Belt	oil	8	MMBO	15	0.00	0.00	0.00	0.00	0.30	19.58	24.76	21.89	16.03	9.75	4.89	2.01	0.67	0.13	0.00	0.00	0.00	0.00																		
6107	Lesser Antilles Deformed Belt	gas	8	BCFG	90	0.00	0.00	0.00	0.00	0.21	18.70	25.50	22.75	16.37	9.59	4.55	1.74	0.53	0.06	0.00	0.00	0.00	0.00																		
6117	Greater Antilles Deformed Belt	oil	62	MMBO	1	0.00	33.47	26.47	18.17	11.30	6.15	2.88	1.14	0.38	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
6117	Greater Antilles Deformed Belt	gas	0	BCFG	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7013	Senegal	oil	13	MMBO	13	0.00	25.36	24.69	19.59	13.91	8.64	4.62	2.11	0.82	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7013	Senegal	gas	11	BCFG	78	0.00	28.78	27.88	20.05	12.46	6.57	2.89	1.05	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7183	Gulf of Guinea	oil	49	MMBO	2	0.00	0.00	23.79	26.26	20.92	14.33	8.33	4.07	1.65	0.55	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7183	Gulf of Guinea	gas	49	BCFG	12	0.00	0.00	25.75	26.54	20.43	13.66	7.80	3.75	1.50	0.50	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7192	Niger Delta	oil	838	MMBO	1	0.00	5.39	12.27	16.61	18.33	17.00	13.31	8.78	4.87	2.27	0.88	0.25	0.04	0.00	0.00	0.00	0.00	0.00																		
7192	Niger Delta	gas	351	BCFG	6	0.00	7.29	15.99	20.12	19.97	16.15	10.71	5.84	2.63	0.98	0.28	0.02	0.00	0.00	0.00	0.00	0.00	0.00																		
7203	West-Central Coastal	oil	485	MMBO	1	0.00	14.11	15.17	14.26	14.18	13.85	10.91	7.73	4.91	2.76	1.35	0.54	0.19	0.04	0.00	0.00	0.00	0.00																		
7203	West-Central Coastal	gas	130	BCFG	6	0.00	15.18	17.77	16.52	14.73	13.63	10.12	6.40	3.43	1.52	0.53	0.14	0.01	0.00	0.00	0.00	0.00	0.00																		
7303	Orange River Coastal	oil	3	MMBO	8	0.00	0.00	0.00	0.00	38.10	31.79	17.77	8.21	3.06	0.91	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
7303	Orange River Coastal	gas	11	BCFG	48	0.00	0.00	0.00	0.00	29.67	30.05	20.47	11.62	5.42	2.05	0.63	0.09	0.00	0.00	0.00	0.00	0.00	0.00																		
8026	Kohat-Potwar	oil	21	MMBO	1	0.00	18.10	31.95	25.94	15.03	6.45	2.05	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8026	Kohat-Potwar	gas	5	BCFG	6	0.00	16.59	31.64	26.65	15.71	6.78	2.14	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8034	Assam	oil	34	MMBO	1	0.00	1.95	16.51	31.59	29.08	15.24	4.74	0.88	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8034	Assam	gas	6	BCFG	6	0.00	25.14	32.80	22.92	12.20	5.01	1.58	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8042	Indus	oil	22	MMBO	1	0.00	11.22	38.83	32.60	13.69	3.26	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8042	Indus	gas	120	BCFG	6	0.00	6.66	13.09	16.20	19.33	17.68	12.66	7.77	4.04	1.77	0.65	0.16	0.00	0.00	0.00	0.00	0.00	0.00																		
8043	Bombay	oil	120	MMBO	1	0.00	9.74	19.62	22.70	20.33	14.42	8.09	3.56	1.23	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8043	Bombay	gas	75	BCFG	6	0.00	4.52	15.12	23.43	24.54	18.18	9.57	3.58	0.95	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8047	Ganges-Brahmaputra Delta	oil	17	MMBO	2	0.00	0.00	47.82	33.92	13.33	3.98	0.85	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8047	Ganges-Brahmaputra Delta	gas	336	BCFG	12	0.00	0.00	22.50	23.75	19.98	14.90	9.65	5.35	2.52	1.00	0.32	0.03	0.00	0.00	0.00	0.00	0.00	0.00																		
8048	Irrawddy	oil	50	MMBO	1	0.00	13.08	23.01	23.28	18.58	11.99	6.27	2.66	0.91	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
8048	Irrawddy	gas	116	BCFG	6	0.00	16.51	20.55	19.56	16.06	11.62	7.52	4.37	2.25	1.03	0.41	0.12	0.00	0.00	0.00	0.00	0.00	0.00																		
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
