Province Code	Province Name	Field Type	Estimated Mean Number of Undiscovered Fields	Units for Minimum Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																		
1207	Baykit Arch	gas	34	BCFG	30	0.00	0.00	0.00	15.47	26.80	22.28	16.19	10.17	5.44	2.45	0.92	0.28	0.00	0.00	0.00	0.00	0.00	0.00																		
1209	Angara-Terrace	oil	4	MMBO	5	0.00	0.00	0.00	10.15	24.29	23.60	18.65	12.26	6.67	2.98	1.08	0.32	0.00	0.00	0.00	0.00	0.00	0.00																		
1209	Angara-Terrace 	gas	29	BCFG	30	0.00	0.00	0.00	15.47	26.80	22.28	16.19	10.17	5.44	2.45	0.92	0.28	0.00	0.00	0.00	0.00	0.00	0.00																		
1210	Nepa-Botuoba Arch	oil	19	MMBO	5	0.00	0.00	0.00	10.15	24.29	23.60	18.65	12.26	6.67	2.98	1.08	0.32	0.00	0.00	0.00	0.00	0.00	0.00																		
1210	Nepa-Botuoba Arch	gas	74	BCFG	30	0.00	0.00	0.00	15.47	26.80	22.28	16.19	10.17	5.44	2.45	0.92	0.28	0.00	0.00	0.00	0.00	0.00	0.00																		
1211	Cis-Patom Foredeep	oil	3	MMBO	5	0.00	0.00	0.00	10.15	24.29	23.60	18.65	12.26	6.67	2.98	1.08	0.32	0.00	0.00	0.00	0.00	0.00	0.00																		
1211	Cis-Patom Foredeep	gas	14	BCFG	30	0.00	0.00	0.00	15.47	26.80	22.28	16.19	10.17	5.44	2.45	0.92	0.28	0.00	0.00	0.00	0.00	0.00	0.00																		
1322	North Sakhalin Basin	oil	43	MMBO	5	0.00	0.00	0.00	9.63	24.47	24.13	18.99	12.28	6.50	2.79	0.97	0.25	0.00	0.00	0.00	0.00	0.00	0.00																		
1322	North Sakhalin Basin	gas	86	BCFG	30	0.00	0.00	0.00	13.62	22.88	20.45	16.56	11.92	7.50	4.09	1.92	0.77	0.27	0.00	0.00	0.00	0.00	0.00																		
2004	Ma'Rib-Al Jawf/Masila Basin	oil	25	MMBO	5	0.00	0.00	0.00	5.68	27.53	30.84	21.32	10.25	3.49	0.84	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2004	Ma'Rib-Al Jawf/Masila Basin	gas	12	BCFG	30	0.00	0.00	0.00	13.15	34.96	27.51	15.40	6.47	2.04	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2006	Shabwah Basin	oil	18	MMBO	5	0.00	0.00	0.00	5.68	27.53	30.84	21.32	10.25	3.49	0.84	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2006	Shabwah Basin	gas	9	BCFG	30	0.00	0.00	0.00	13.15	34.96	27.51	15.40	6.47	2.04	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2009	Masila-Jeza Basin	oil	29	MMBO	5	0.00	0.00	0.00	5.68	27.53	30.84	21.32	10.25	3.49	0.84	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2009	Masila-Jeza Basin	gas	14	BCFG	30	0.00	0.00	0.00	13.15	34.96	27.51	15.40	6.47	2.04	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2010	Ghudin-Khasfeh Flank Province	oil	3	MMBO	10	0.00	0.00	0.00	0.00	17.29	21.06	17.64	14.55	11.22	7.91	5.03	2.87	1.46	0.66	0.27	0.04	0.00	0.00																		
2010	Ghudin-Khasfeh Flank Province	gas	2	BCFG	60	0.00	0.00	0.00	0.00	17.29	21.06	17.64	14.55	11.22	7.91	5.03	2.87	1.46	0.66	0.27	0.04	0.00	0.00																		
2011	South Oman Salt Basin	oil	6	MMBO	5	0.00	0.00	0.00	35.50	36.32	17.35	7.34	2.61	0.76	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2011	South Oman Salt basin	gas	2	BCFG	30	0.00	0.00	0.00	3.57	18.82	26.12	23.78	15.89	7.94	2.97	0.83	0.10	0.00	0.00	0.00	0.00	0.00	0.00																		
2013	Huqf-Haushi Uplift	oil	2	MMBO	2	0.00	0.00	0.00	35.50	36.32	17.35	7.34	2.61	0.76	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2013	Huqf-Haushi Uplift	gas	1	BCFG	12	0.00	0.00	0.00	3.57	18.82	26.12	23.78	15.89	7.94	2.97	0.83	0.10	0.00	0.00	0.00	0.00	0.00	0.00																		
2014	Gaba Salt Basin	oil	22	MMBO	5	0.00	0.00	0.00	35.50	36.32	17.35	7.34	2.61	0.76	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2014	Gaba Salt Basin	gas	10	BCFG	30	0.00	0.00	0.00	3.57	18.82	26.12	23.78	15.89	7.94	2.97	0.83	0.10	0.00	0.00	0.00	0.00	0.00	0.00																		
2015	Central Oman Platform	oil	13	MMBO	1	0.00	0.71	2.11	25.55	29.37	19.68	11.96	6.33	2.85	1.05	0.31	0.06	0.00	0.00	0.00	0.00	0.00	0.00																		
2015	Central Oman Platform	gas	9	BCFG	6	0.00	1.39	1.57	5.58	21.80	28.76	22.62	12.05	4.61	1.34	0.25	0.03	0.00	0.00	0.00	0.00	0.00	0.00																		
2016	Fahud Salt Basin	oil	28	MMBO	1	0.00	2.43	7.18	19.33	23.63	20.15	13.91	7.86	3.64	1.39	0.40	0.07	0.00	0.00	0.00	0.00	0.00	0.00																		
2016	Fahud Salt Basin	gas	18	BCFG	6	0.00	4.96	5.57	8.25	21.87	27.09	19.76	9.20	2.77	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
